Date,Open,High,Low,Close,Volume,Adj Close
2014-02-04,302.90,317.70,299.45,316.25,6882900,316.25
2014-02-03,313.10,313.10,303.80,305.85,3630300,305.85
2014-01-31,310.00,316.25,309.10,315.00,3312500,315.00
2014-01-30,302.00,310.65,300.10,308.65,8481500,308.65
2014-01-29,310.00,314.75,300.95,301.90,7761100,301.90
2014-01-28,306.90,309.50,302.15,306.00,5189300,306.00
2014-01-27,307.90,312.15,303.85,306.90,5018300,306.90
2014-01-24,313.00,314.75,307.75,313.15,4558800,313.15
2014-01-23,309.00,315.90,306.40,314.65,4757300,314.65
2014-01-22,305.20,311.80,305.20,309.75,5363500,309.75
2014-01-21,311.00,311.00,302.65,304.90,7067900,304.90
2014-01-20,311.10,312.80,307.15,308.55,4702600,308.55
2014-01-17,316.00,318.55,306.25,310.90,5862200,310.90
2014-01-16,332.95,332.95,313.55,315.55,9471200,315.55
2014-01-15,329.90,333.20,329.20,331.50,2524200,331.50
2014-01-14,331.00,332.00,326.00,327.95,2230200,327.95
2014-01-13,330.00,333.80,329.05,331.00,2302900,331.00
2014-01-10,327.00,333.15,327.00,330.55,3413800,330.55
2014-01-09,332.40,333.00,327.25,329.60,3362000,329.60
2014-01-08,333.00,334.00,327.70,332.40,5683300,332.40
2014-01-07,330.50,334.50,326.50,331.70,3704600,331.70
2014-01-06,328.50,330.65,325.75,329.35,2437800,329.35
2014-01-03,328.00,331.90,324.05,329.35,4237100,329.35
2014-01-02,338.00,339.00,326.50,328.70,4755400,328.70
2014-01-01,331.00,339.00,330.20,337.75,1697600,337.75
2013-12-31,329.50,333.30,326.05,330.25,2108100,330.25
2013-12-30,329.35,333.70,329.00,329.65,3257600,329.65
2013-12-27,331.50,331.50,327.85,329.20,2529500,329.20
2013-12-26,326.65,331.70,323.95,329.55,5098700,329.55
2013-12-25,325.65,325.65,325.65,325.65,000,325.65
2013-12-24,329.00,331.90,324.25,325.65,2395500,325.65
2013-12-23,327.90,330.25,325.65,328.25,2701200,328.25
2013-12-20,324.00,329.90,319.95,327.90,3431300,327.90
2013-12-19,326.10,329.60,318.60,323.55,3157400,323.55
2013-12-18,327.95,332.00,323.60,327.75,3601700,327.75
2013-12-17,314.15,329.45,314.15,327.35,4246000,327.35
2013-12-16,320.85,323.50,311.50,313.35,4481500,313.35
2013-12-13,325.30,329.65,319.50,320.85,4530600,320.85
2013-12-12,327.05,328.50,315.55,323.60,4083100,323.60
2013-12-11,338.65,338.65,326.30,328.10,2851600,328.10
2013-12-10,337.00,341.25,333.05,335.25,3083600,335.25
2013-12-09,344.00,344.00,334.60,336.35,5334200,336.35
2013-12-06,335.80,336.00,331.00,332.40,4292100,332.40
2013-12-05,338.00,340.00,334.00,335.35,8449200,335.35
2013-12-04,329.10,336.75,329.10,332.25,4038400,332.25
2013-12-03,332.00,333.35,329.60,331.00,2583300,331.00
2013-12-02,328.00,335.60,328.00,332.60,3457700,332.60
2013-11-29,326.90,329.70,323.70,327.00,6291600,327.00
2013-11-28,326.70,326.80,321.30,323.60,5808500,323.60
2013-11-27,328.00,329.40,318.55,321.90,6326200,321.90
2013-11-26,336.00,340.55,325.00,327.05,6197400,327.05
2013-11-25,339.45,341.70,330.00,336.15,3169300,336.15
2013-11-22,339.60,346.90,335.00,335.90,3294600,335.90
2013-11-21,340.95,343.95,336.60,338.65,2233500,338.65
2013-11-20,352.10,353.05,341.90,344.40,3844200,344.40
2013-11-19,346.50,353.95,346.05,351.60,4973400,351.60
2013-11-18,342.40,347.00,340.80,345.25,3642700,345.25
2013-11-15,339.90,339.90,339.90,339.90,000,339.90
2013-11-14,335.05,344.70,335.05,339.90,2946000,339.90
2013-11-13,339.80,340.00,328.15,332.50,3225500,332.50
2013-11-12,340.75,343.95,336.05,337.75,2639800,337.75
2013-11-11,341.00,346.50,339.50,341.00,4320100,341.00
2013-11-08,346.05,352.95,342.85,344.00,3067300,344.00
2013-11-07,354.00,358.50,346.80,348.25,3359300,348.25
2013-11-06,360.30,364.75,352.80,355.60,5280300,355.60
2013-11-05,360.60,365.50,356.00,359.60,5387000,359.60
2013-11-04,367.20,367.20,367.20,367.20,000,367.20
2013-11-01,365.00,373.80,362.30,367.20,5371400,367.20
2013-10-31,357.85,370.50,356.10,367.10,10451400,367.10
2013-10-30,340.50,364.50,334.20,360.00,19754300,360.00
2013-10-29,341.90,344.90,336.20,341.20,2270400,341.20
2013-10-28,344.00,348.30,337.10,339.40,2073500,339.40
2013-10-25,348.20,349.10,342.00,343.50,2354200,343.50
